epoch,loss,val_loss
0,228.335986252,188.477101517
1,226.612720985,187.772580605
2,225.034173508,188.464025192
3,223.991619568,187.321990967
4,224.612936211,184.480566978
5,222.988998222,186.117079582
6,222.117173538,185.812564392
7,222.531353455,184.801043396
8,222.723748207,183.177138519
9,221.917077675,186.923497543
10,222.296293488,185.466559868
11,222.716114502,185.607452927
12,222.449084969,184.040920601
13,221.450178204,184.281960449
14,221.942759285,186.143747063
15,221.018179626,183.628754005
16,220.682370224,184.574755707
17,221.345513458,184.185167809
18,219.566762848,182.487678375
19,220.891841354,184.532750626
20,221.599649963,184.672316132
21,221.310998802,183.322387619
22,223.00063282,186.67079319
23,221.8102882,184.023568344
24,221.080571861,184.929541817
25,221.936725883,186.442980766
26,220.565950089,182.034855804
27,220.335736961,186.793898621
28,221.584522629,183.963853378
29,220.915254936,183.291595802
